02:29:02.830 [ApplicationImpl pooled thread 456] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:30:06.396 [ApplicationImpl pooled thread 458] INFO  c.b.l.BrowserStackRunExtension - testng
02:30:06.396 [ApplicationImpl pooled thread 458] INFO  com.browserstack.utils.Helpers - null
02:30:06.397 [ApplicationImpl pooled thread 458] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:31:58.598 [ApplicationImpl pooled thread 466] INFO  c.b.l.BrowserStackRunExtension - testng
02:31:58.598 [ApplicationImpl pooled thread 466] INFO  com.browserstack.utils.Helpers - null
02:31:58.610 [ApplicationImpl pooled thread 466] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:33:31.805 [ApplicationImpl pooled thread 466] INFO  c.b.l.BrowserStackRunExtension - testng
02:33:31.805 [ApplicationImpl pooled thread 466] INFO  com.browserstack.utils.Helpers - null
02:33:31.807 [ApplicationImpl pooled thread 466] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:34:58.999 [ApplicationImpl pooled thread 458] INFO  c.b.l.BrowserStackRunExtension - testng
02:34:58.999 [ApplicationImpl pooled thread 458] INFO  com.browserstack.utils.Helpers - null
02:34:59.001 [ApplicationImpl pooled thread 458] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:35:33.848 [ApplicationImpl pooled thread 471] INFO  c.b.l.BrowserStackRunExtension - testng
02:35:33.848 [ApplicationImpl pooled thread 471] INFO  com.browserstack.utils.Helpers - null
02:35:33.849 [ApplicationImpl pooled thread 471] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:36:59.418 [ApplicationImpl pooled thread 471] INFO  c.b.l.BrowserStackRunExtension - testng
02:36:59.418 [ApplicationImpl pooled thread 471] INFO  com.browserstack.utils.Helpers - null
02:36:59.420 [ApplicationImpl pooled thread 471] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:44:59.778 [ApplicationImpl pooled thread 486] INFO  c.b.l.BrowserStackRunExtension - testng
02:44:59.778 [ApplicationImpl pooled thread 486] INFO  com.browserstack.utils.Helpers - null
02:44:59.778 [ApplicationImpl pooled thread 486] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:25:05.965 [ApplicationImpl pooled thread 107] INFO  c.b.l.BrowserStackRunExtension - testng
12:25:05.971 [ApplicationImpl pooled thread 107] INFO  com.browserstack.utils.Helpers - null
12:25:05.971 [ApplicationImpl pooled thread 107] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
